,ID,Tournament,Date,Home Team,Home Goals,Away Goals,Away Team
2070,2071,FIFA World Cup qualification,1954-02-28,Chile,0,2,Brazil
2072,2073,FIFA World Cup qualification,1954-03-07,Paraguay,0,1,Brazil
2074,2075,FIFA World Cup qualification,1954-03-14,Brazil,1,0,Chile
2078,2079,FIFA World Cup qualification,1954-03-21,Brazil,4,1,Paraguay
2356,2357,FIFA World Cup qualification,1957-04-13,Peru,1,1,Brazil
2358,2359,FIFA World Cup qualification,1957-04-21,Brazil,1,0,Peru
3813,3814,FIFA World Cup qualification,1969-08-06,Colombia,0,2,Brazil
3815,3816,FIFA World Cup qualification,1969-08-10,Venezuela,0,5,Brazil
3817,3818,FIFA World Cup qualification,1969-08-17,Paraguay,0,3,Brazil
3818,3819,FIFA World Cup qualification,1969-08-21,Brazil,6,2,Colombia
3820,3821,FIFA World Cup qualification,1969-08-24,Brazil,6,0,Venezuela
3823,3824,FIFA World Cup qualification,1969-08-31,Brazil,1,0,Paraguay
5078,5079,FIFA World Cup qualification,1977-02-20,Colombia,0,0,Brazil
5091,5092,FIFA World Cup qualification,1977-03-09,Brazil,6,0,Colombia
5098,5099,FIFA World Cup qualification,1977-03-13,Paraguay,0,1,Brazil
5105,5106,FIFA World Cup qualification,1977-03-20,Brazil,1,1,Paraguay
5180,5181,FIFA World Cup qualification,1977-07-10,Peru,0,1,Brazil
5182,5183,FIFA World Cup qualification,1977-07-14,Brazil,8,0,Bolivia
5826,5827,FIFA World Cup qualification,1981-02-08,Venezuela,0,1,Brazil
5837,5838,FIFA World Cup qualification,1981-02-22,Bolivia,1,2,Brazil
5849,5850,FIFA World Cup qualification,1981-03-22,Brazil,3,1,Bolivia
5862,5863,FIFA World Cup qualification,1981-03-29,Brazil,5,0,Venezuela
6747,6748,FIFA World Cup qualification,1985-06-02,Bolivia,0,2,Brazil
6766,6767,FIFA World Cup qualification,1985-06-16,Paraguay,0,2,Brazil
6768,6769,FIFA World Cup qualification,1985-06-23,Brazil,1,1,Paraguay
6771,6772,FIFA World Cup qualification,1985-06-30,Brazil,1,1,Bolivia
7613,7614,FIFA World Cup qualification,1989-07-30,Venezuela,0,4,Brazil
7618,7619,FIFA World Cup qualification,1989-08-13,Chile,1,1,Brazil
7622,7623,FIFA World Cup qualification,1989-08-20,Brazil,6,0,Venezuela
7632,7633,FIFA World Cup qualification,1989-09-03,Brazil,1,0,Chile
8573,8574,FIFA World Cup qualification,1993-07-18,Ecuador,0,0,Brazil
8579,8580,FIFA World Cup qualification,1993-07-25,Bolivia,2,0,Brazil
8590,8591,FIFA World Cup qualification,1993-08-01,Venezuela,1,5,Brazil
8600,8601,FIFA World Cup qualification,1993-08-15,Uruguay,1,1,Brazil
8602,8603,FIFA World Cup qualification,1993-08-22,Brazil,2,0,Ecuador
8606,8607,FIFA World Cup qualification,1993-08-29,Brazil,6,0,Bolivia
8610,8611,FIFA World Cup qualification,1993-09-05,Brazil,4,0,Venezuela
8624,8625,FIFA World Cup qualification,1993-09-19,Brazil,2,0,Uruguay
10462,10463,FIFA World Cup qualification,2000-03-28,Colombia,0,0,Brazil
10500,10501,FIFA World Cup qualification,2000-04-26,Brazil,3,2,Ecuador
10550,10551,FIFA World Cup qualification,2000-06-04,Peru,0,1,Brazil
10606,10607,FIFA World Cup qualification,2000-06-28,Brazil,1,1,Uruguay
10625,10626,FIFA World Cup qualification,2000-07-18,Paraguay,2,1,Brazil
10632,10633,FIFA World Cup qualification,2000-07-26,Brazil,3,1,Argentina
10637,10638,FIFA World Cup qualification,2000-08-15,Chile,3,0,Brazil
10665,10666,FIFA World Cup qualification,2000-09-03,Brazil,5,0,Bolivia
10710,10711,FIFA World Cup qualification,2000-10-08,Venezuela,0,6,Brazil
10744,10745,FIFA World Cup qualification,2000-11-15,Brazil,1,0,Colombia
10849,10850,FIFA World Cup qualification,2001-03-28,Ecuador,1,0,Brazil
10872,10873,FIFA World Cup qualification,2001-04-25,Brazil,1,1,Peru
10960,10961,FIFA World Cup qualification,2001-07-01,Uruguay,1,0,Brazil
11004,11005,FIFA World Cup qualification,2001-08-15,Brazil,2,0,Paraguay
11039,11040,FIFA World Cup qualification,2001-09-05,Argentina,2,1,Brazil
11084,11085,FIFA World Cup qualification,2001-10-07,Brazil,2,0,Chile
11100,11101,FIFA World Cup qualification,2001-11-07,Bolivia,3,1,Brazil
11116,11117,FIFA World Cup qualification,2001-11-14,Brazil,3,0,Venezuela
11593,11594,FIFA World Cup qualification,2003-09-07,Colombia,1,2,Brazil
11598,11599,FIFA World Cup qualification,2003-09-10,Brazil,1,0,Ecuador
11670,11671,FIFA World Cup qualification,2003-11-16,Peru,1,1,Brazil
11674,11675,FIFA World Cup qualification,2003-11-19,Brazil,3,3,Uruguay
11771,11772,FIFA World Cup qualification,2004-03-31,Paraguay,0,0,Brazil
11825,11826,FIFA World Cup qualification,2004-06-02,Brazil,3,1,Argentina
11848,11849,FIFA World Cup qualification,2004-06-06,Chile,1,1,Brazil
11987,11988,FIFA World Cup qualification,2004-09-05,Brazil,3,1,Bolivia
12030,12031,FIFA World Cup qualification,2004-10-09,Venezuela,2,5,Brazil
12039,12040,FIFA World Cup qualification,2004-10-13,Brazil,0,0,Colombia
12066,12067,FIFA World Cup qualification,2004-11-17,Ecuador,1,0,Brazil
12169,12170,FIFA World Cup qualification,2005-03-27,Brazil,1,0,Peru
12194,12195,FIFA World Cup qualification,2005-03-30,Uruguay,1,1,Brazil
12229,12230,FIFA World Cup qualification,2005-06-05,Brazil,4,1,Paraguay
12233,12234,FIFA World Cup qualification,2005-06-08,Argentina,3,1,Brazil
12336,12337,FIFA World Cup qualification,2005-09-04,Brazil,5,0,Chile
12377,12378,FIFA World Cup qualification,2005-10-09,Bolivia,1,1,Brazil
12379,12380,FIFA World Cup qualification,2005-10-12,Brazil,3,0,Venezuela
12984,12985,FIFA World Cup qualification,2007-10-14,Colombia,0,0,Brazil
12992,12993,FIFA World Cup qualification,2007-10-17,Brazil,5,0,Ecuador
13031,13032,FIFA World Cup qualification,2007-11-18,Peru,1,1,Brazil
13039,13040,FIFA World Cup qualification,2007-11-21,Brazil,2,1,Uruguay
13231,13232,FIFA World Cup qualification,2008-06-15,Paraguay,2,0,Brazil
13241,13242,FIFA World Cup qualification,2008-06-18,Brazil,0,0,Argentina
13323,13324,FIFA World Cup qualification,2008-09-07,Chile,0,3,Brazil
13324,13325,FIFA World Cup qualification,2008-09-10,Brazil,0,0,Bolivia
13371,13372,FIFA World Cup qualification,2008-10-12,Venezuela,0,4,Brazil
13378,13379,FIFA World Cup qualification,2008-10-15,Brazil,0,0,Colombia
13506,13507,FIFA World Cup qualification,2009-03-29,Ecuador,1,1,Brazil
13531,13532,FIFA World Cup qualification,2009-04-01,Brazil,3,0,Peru
13566,13567,FIFA World Cup qualification,2009-06-06,Uruguay,0,4,Brazil
13573,13574,FIFA World Cup qualification,2009-06-10,Brazil,2,1,Paraguay
13656,13657,FIFA World Cup qualification,2009-09-05,Argentina,1,3,Brazil
13698,13699,FIFA World Cup qualification,2009-09-09,Brazil,4,2,Chile
13725,13726,FIFA World Cup qualification,2009-10-11,Bolivia,2,1,Brazil
13729,13730,FIFA World Cup qualification,2009-10-14,Brazil,0,0,Venezuela
15584,15585,FIFA World Cup qualification,2015-10-08,Chile,2,0,Brazil
15616,15617,FIFA World Cup qualification,2015-10-13,Brazil,3,1,Venezuela
15641,15642,FIFA World Cup qualification,2015-11-13,Argentina,1,1,Brazil
15661,15662,FIFA World Cup qualification,2015-11-17,Brazil,3,0,Peru
15707,15708,FIFA World Cup qualification,2016-03-25,Brazil,2,2,Uruguay
15739,15740,FIFA World Cup qualification,2016-03-29,Paraguay,2,2,Brazil
15869,15870,FIFA World Cup qualification,2016-09-01,Ecuador,0,3,Brazil
15894,15895,FIFA World Cup qualification,2016-09-06,Brazil,2,1,Colombia
15915,15916,FIFA World Cup qualification,2016-10-06,Brazil,5,0,Bolivia
15965,15966,FIFA World Cup qualification,2016-10-11,Venezuela,0,2,Brazil
15967,15968,FIFA World Cup qualification,2016-11-10,Brazil,3,0,Argentina
16006,16007,FIFA World Cup qualification,2016-11-15,Peru,0,2,Brazil
16064,16065,FIFA World Cup qualification,2017-03-23,Uruguay,1,4,Brazil
16085,16086,FIFA World Cup qualification,2017-03-28,Brazil,3,0,Paraguay
16203,16204,FIFA World Cup qualification,2017-08-31,Brazil,2,0,Ecuador
16239,16240,FIFA World Cup qualification,2017-09-05,Colombia,1,1,Brazil
16257,16258,FIFA World Cup qualification,2017-10-05,Bolivia,0,0,Brazil
16297,16298,FIFA World Cup qualification,2017-10-10,Brazil,3,0,Chile
17010,17011,FIFA World Cup qualification,2020-10-09,Brazil,5,0,Bolivia
17033,17034,FIFA World Cup qualification,2020-10-13,Peru,2,4,Brazil
17059,17060,FIFA World Cup qualification,2020-11-13,Brazil,1,0,Venezuela
17083,17084,FIFA World Cup qualification,2020-11-17,Uruguay,0,2,Brazil
17174,17175,FIFA World Cup qualification,2021-06-04,Brazil,2,0,Ecuador
17203,17204,FIFA World Cup qualification,2021-06-08,Paraguay,0,2,Brazil
17339,17340,FIFA World Cup qualification,2021-09-02,Chile,0,1,Brazil
17392,17393,FIFA World Cup qualification,2021-09-09,Brazil,2,0,Peru
17404,17405,FIFA World Cup qualification,2021-10-07,Venezuela,1,3,Brazil
