,Team,Position,Player,Age,Caps,Goals,WC Goals,League,Club
623,Brazil,Goalkeeper,Alisson,30,57,0,0,England,Liverpool
624,Brazil,Defender,Danilo,31,46,1,0,Italy,Juventus
625,Brazil,Defender,Thiago Silva (captain),38,109,7,2,England,Chelsea
626,Brazil,Defender,Marquinhos,28,71,5,0,France,Paris Saint-Germain
627,Brazil,Midfielder,Casemiro,30,65,5,0,England,Manchester United
628,Brazil,Defender,Alex Sandro,31,37,2,0,Italy,Juventus
629,Brazil,Midfielder,Lucas Paquetá,25,35,7,0,England,West Ham United
630,Brazil,Midfielder,Fred,29,28,0,2,England,Manchester United
631,Brazil,Forward,Richarlison,25,38,17,0,England,Tottenham Hotspur
632,Brazil,Forward,Neymar,30,121,75,6,France,Paris Saint-Germain
633,Brazil,Forward,Raphinha,25,11,5,0,Spain,Barcelona
634,Brazil,Goalkeeper,Weverton,34,8,0,0,Brazil,Palmeiras
635,Brazil,Defender,Dani Alves,39,124,8,0,Mexico,UNAM
636,Brazil,Defender,Éder Militão,24,23,1,0,Spain,Real Madrid
637,Brazil,Midfielder,Fabinho,29,28,0,0,England,Liverpool
638,Brazil,Defender,Alex Telles,29,8,0,0,Spain,Sevilla
639,Brazil,Midfielder,Bruno Guimarães,25,8,1,0,England,Newcastle United
640,Brazil,Forward,Gabriel Jesus,25,56,19,0,England,Arsenal
641,Brazil,Forward,Antony,22,11,2,0,England,Manchester United
642,Brazil,Forward,Vinícius Júnior,22,16,1,0,Spain,Real Madrid
643,Brazil,Forward,Rodrygo,21,5,1,0,Spain,Real Madrid
644,Brazil,Midfielder,Éverton Ribeiro,33,21,3,0,Brazil,Flamengo
645,Brazil,Goalkeeper,Ederson,29,18,0,0,England,Manchester City
646,Brazil,Defender,Bremer,25,1,0,0,Italy,Juventus
647,Brazil,Forward,Pedro,25,2,1,0,Brazil,Flamengo
648,Brazil,Forward,Gabriel Martinelli,21,3,0,0,England,Arsenal
